pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
De que equipo del futbol argentino es hincha el Papa Francisco?,Boca,San Lorenzo,River,Racing,2
En que pais esta el edificio mas alto del mundo?,Estados Unidos,Catar,Dubai,China,3
Que ciudad esta en dos continentes distintos?,Estambul,Moscu,Berlin,Jerusalem,1
Cuando termino la Segunda Guerra Mundial?,1943,1944,1945,1946,3
Cuantos años duro la Primera Guerra Mundial?,4,5,3,2,1
En que año llego Colon a America?,1429,1592,1529,1492,4
Cual es el libro sagrado de los musulmanes?,La Biblia,El Coran,El Tipitaka,La Tora,2
Quien escribio La Odisea?,Cervantes,Virgilio,Shakespeare,Homero,4
Quien pinto el cuadro llamado La Ultima Cena?,Da Vinci,Velazquez,Rembrandt,Monet,1
Como se llama el himno nacional de Francia?,La Internacional,La Marsellesa,La Solitaria,La Fantastica,2
A que se conoce como el septimo arte?,Cine,Escultura,Poesia,Pintura,1
Que es un melomano?,Un amante del cine,Un amante de la lectura,Un amante de la musica,Un amante de la pintura,3
Quien pinto la noche estrellada?,Velazquez,Picasso,Rembrandt,Van Gogh,4
A quien se conocio como el Rey del Rock and Roll en Estados Unidos?,Bruce Springsteen,Frank Sinatra,Michael Jackson,Elvis Presley,4
En que año se separaron los Beatles?,1965,1968,1970,1972,3
En que año murio John Lennon?,1980,1977,1883,1975,1
En que año murio Freddy Mercury?,1984,1986,1989,1991,4
Como se llama el triangulo que tiene todos sus lados iguales?,Isosceles,Equilatero,Recto,Escaleno,2
Cual es el primer elemento de la tabla periodica?,Helio,Argon,Fosforo,Hidrogeno,4
Como se denomina al centro de un atomo?,Membrana,Electron,Nucleo,Proton,3
Cual es el simbolo quimico del oro?,Au,Or,Ao,Om,1
En que parte del cuerpo se produce la insulina?,Higado,Pancreas,Pulmones,Intestino Delgado,2
Cuantas patas tiene una araña?,8,4,10,6,1
Cual es el unico mamifero que puede volar?,Aguila,Avestruz,Condor,Murcielago,4
Como se llama el proceso por el cual se alimentan las plantas?,Fotosintesis,Mitosis,Biosintesis,Luminosintesis,1
Cuantos corazones tienen los pulpos?,2,1,3,4,3
Cual es la rama de la biologia que estudia las plantas?,Zoologia,Mineralogia,Botanica,Plantologia,3
Cuantos huesos tiene un ser humano adulto?,115,304,206,292,3
En que año fue la Revolucion Francesa?,1889,1789,1776,1809,2
En que año llego el primer hombre a la Luna?,1969,1971,1976,1972,1
En que año se disolvio la Union Sovietica?,1989,1984,1993,1991,4
En que año se derrumbo el Muro de Berlin?,1992,1987,1991,1989,4
Donde nacio Julio Cortazar?,Argentina,Uruguay,Chile,Cuba,1
Quien escribio la trilogia de El Señor de los Anillos?,J.K. Rowling,J.R.R. Tolkien,George R.R. Martin,George Lucas,2
Aproximadamente hace cuantos años se extinguieron los dinosaurios?,4 millones,30 millones,70 millones,200 millones,3
Cuantos años tiene la reina Isabel II?,91,93,95,97,3
Cuantas lunas conocidas tiene Jupiter?,49,59,69,79,4
