pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
Cual es el continente mas grande del mundo?,Africa,America,Europa,Asia,4
Cual es la montaña mas alta del mundo?,Makalu,Kilimanjaro,Everest,Aconcagua,3
Que oceano esta en la costa este de Estados Unidos?,Indico,Atlantico,Pacifico,Artico,2
Cual es la capital de Brasil?,San Pablo,Rio de Janeiro,Brasilia,Florianopolis,3
Cual es el pais mas poblado del mundo?,China,Indonesia,Rusia,India,1
Cual de estos mares esta al norte de Europa?,Mar Baltico,Mar Adriatico,Mar Tirreno,Mar Egeo,1
En que continente esta Israel?,Europa,Asia,Africa,America,2
Donde se encuentran las guyanas?,America del Norte,America del Sur,Europa,Asia,2
Cual es el desierto mas grande?,Antartico,Sahara,Atacama,Gran Desierto Arenoso,1
Cual es la ciudad mas poblada del mundo?,Mexico DF,Tokio,Nueva Delhi,Shanghai,2
Cual de estos paises no limita con Francia?,Italia,Holanda,Alemania,España,2
Cuantos paises conforman el Reino Unido?,6,4,5,8,2
Entre que paises esta el estrecho de Bering?,Estados Unidos y Rusia,Finlandia y Suecia,Francia e Inglaterra,España y Marruecos,1
Cual es el oceano mas grande?,Pacifico,Atlantico,Indico,Antartico,1
Cual es el rio mas largo del mundo?,Rio Nilo,Rio Amarillo,Rio Amazonas,Rio Congo,3
Cual es la capital de Albania?,Kabul,Sarajevo,Tirana,Zagreb,3
Cual es la capital de Alemania?,Berlin,Munich,Frankfurt,Hamburgo,1
Cual es la capital de Angola?,Tallin,Liubliana,Asmara,Luanda,4
Cual es la capital de Australia?,Sidney,Canberra,Wellington,Auckland,2
Cual es la capital de Austria?,Viena,Praga,Berna,Oslo,1
Cual es la capital de Bahamas?,Nasau,Baku,Georgetown,Belmopan,1
Cual es la capital de Belgica?,Sofia,Riga,Belgrado,Bruselas,4
Cual es la capital de Bielorrusia?,Varsovia,Minsk,Bucarest,Estocolmo,2
De que pais es la capital Budapest?,Bulgaria,Rumania,Hungria,Eslovaquia,3
Cual es la capital de Ecuador?,Quito,Guayaquil,Bogota,Caracas,1
Cual es la capital de Corea del Sur?,Pekin,Seul,Shangai,Astana,2
De que pais es capital San Jose?,Puerto Rico,Republica Dominicana,Cuba,Costa Rica,4
Cual es la capital de Nicaragua?,Managua,Tegucigalpa,Belmopan,San Salvador,1
Cual es la capital de Republica Dominicana?,Bridgetown,Kinston,Santo Domingo,Puerto Principe,3
Cual es la capital de Chubut?,Chubut,Rawson,Bariloche,Las Grutas,2
Cual es la capital de Santa Cruz?,Rio Gallegos,Ushuaia,El Calafate,Santa Cruz,1
Donde esta el monte Kilimanjaro?,Australia,Tanzania,Zimbabwe,Rusia,2
En que pais esta el Vaticano?,Suiza,Italia,Austria,Francia,2
Cual es la ciudad mas poblada de China?,Hong Kong,Pekin,Wuhan,Shanghai,4
En que parte de Africa esta Nigeria?,Oeste,Sur,Norte,Este,1
Cual es la capital del estado de Nueva York?,Nueva York,Dallas,Manhattan,Albany,4
Cual es el pais mas grande del mundo?,Estados Unidos,China,Rusia,Canada,3
Cual es el pais mas chico del mundo?,El Vaticano,Monaco,San Marino,Liechtenstein,1
En que ciudad se encuentra el rio Tamesis?,Manchester,Liverpool,Londres,Birmingham,3
Cual es el pais mas chico de Sudamerica?,Uruguay,Guyana,Surinam,Guayana Francesa,3

